$>n	a matter
>Ed	has prepared
>EdA'	enemies
>Edt	prepared
>Ehd	I enjoin
>EjAz	trunks
>Ejb	pleases
>Ejbk	pleases you
>Ejbkm	he pleases you
>Ejbtkm	pleased you
>Ejlk	made you hasten
>Ejltm	Were you impatient
>EjmY	(is) foreign
>EjmyA	(in) a foreign (language)
>Ejzt	Am I unable
>Elm	know
>Elnt	announced
>Elntm	you declare
>EmY	blind
>Eml	do
>EmlA	(as to their) deeds
>Emlhm	their deeds
>Emlkm	your deeds
>EmlnA	our deeds
>Emmkm	(of) your paternal uncles
>EnAb	grapes
>EnAq	necks
>EnAqhm	their necks
>Enb	grapes
>Endh	Is with him
>Enqhm	their necks
>EqAbnA	our heels
>Eqbkm	your heels
>ErD	turn away
>ErDtm	you turn away
>ErDwA	they turn away
>EtdnA	have prepared
>EvrnA	We made known
>Ew*	seek refuge
>Ey*hA	[I] seek refuge for her
>EybhA	I cause defect (in) it
>EydwA	they will be returned
>Eyn	eyes
>Eynhm	their eyes
>Eynhn	their eyes
>Eynkm	your eyes
>Ez	mightier
>Ezp	(and) stern
>HAT	encompasses
>HAdyv	narrations
>HDrt	it has brought
>HSY	best calculated
>HSYh	Allah has recorded it
>HSYhA	has enumerated it
>HSYhm	He has enumerated them
>HSn	they are married
>HSnt	guarded
>HSrtm	you are held back
>HSrwA	are wrapped up
>HSynh	We have enumerated it
>HTnA	We encompassed
>HTt	I have encompassed
>HY	give life
>Hb	(do) I like
>HbArhm	their rabbis
>Hbbt	you love
>Hd	one
>HdA	anyone
>Hdhm	one of them
>HdhmA	one of them
>Hdkm	any of you
>HdkmA	one of you
>HdnA	one of us
>Hdv	I present
>Hkm	(are) the Most Just
>Hkmt	are perfected
>Hl	Permitted
>HllnA	[We] have made lawful
>Hlm	dreams
>Hlmhm	their minds
>HlnA	has settled us
>Hlt	Are made lawful
>Hmd	Ahmad
>Hml	[I am] carrying
>Hmlkm	to mount you
>Hq	(is) truer
>HqAbA	(for) ages
>HrS	most greedy
>Hs	perceived
>Hsb	Do think
>Hsn	best
>Hsnh	the best thereof
>Hsntm	you do good
>HsnwA	do good
>HswA	they perceived
>HwY	dark
>HyA	he has saved
>HyA'	not alive
>HyAhA	saves it
>HyAkm	gave you life
>HyT	are surrounded
>Hyhm	He restored them to life
>HyynhA	We give it life
>SAb	befell
>SAbh	befalls him
>SAbhA	fell on it
>SAbhm	befell them
>SAbk	befalls you
>SAbt	it struck
>SAbth	befalls him
>SHb	keepers
>SHbhm	(of) their companions
>STfY	Has He chosen
>Sb	I might incline
>SbEhm	their fingers
>SbH	becomes
>SbHwA	they became
>Sbkm	struck you
>Sbnhm	We (could) afflict them
>Sbrhm	their endurance
>Sbthm	strikes them
>Sbtkm	struck you
>Sbtm	you (had) struck (them)
>Sdq	(is) truer
>Sdqt	whether you speak truth
>Sgr	smaller
>Sl	bottom
>Slbkm	your loins
>SlhA	its root
>Slwtk	Does your prayer
>SnAm	idols
>SnAmA	idols
>Snmkm	(against) your idols
>SwAfhA	their wool
>SwlhA	their roots
>Swthm	their voices
>Swtkm	your voices
>Syb	I afflict
>TAE	he obeyed
>TAEwnA	they (had) obeyed us
>TEmh	He would have fed him
>TEmhm	feeds them
>TEnA	[we] obeyed
>TEnkm	they obey you
>TEtm	you obey
>TEtmwhm	you obey them
>Tf>hA	it (was) extinguished
>Tgyth	I made him transgress
>Thr	(is) purer
>TlE	I may look
>TmE	I hope
>TrAfhA	its borders
>TwArA	(in) stages
>TyEwA	Obey
>Zfrkm	He gave you victory
>Zlm	it darkens
>Zn	I think
>b$r	Shall human beings
>b$rA	Is (it) a human being
>b$rtmwnY	Do you give me glad tidings
>bA	a father
>bAbyl	(in) flocks
>bAh	(from) his father
>bAhm	(to) their father
>bAkm	your father
>bAnA	our father
>bEv	Has Allah sent
>bHr	seas
>bSr	sees
>bSrhA	Their eyes
>bSrhm	their eyes
>bSrhn	their gaze
>bSrkm	your sight
>bSrnA	our eyes
>bY	(of) Abu
>bdA	ever
>bdlh	I change it
>bgY	I (should) seek
>bgykm	I seek for you
>bkArA	virgins
>bkm	(is) dumb
>blg	reach
>blgh	escort him
>blgkm	I convey to you
>blgtkm	I have conveyed to you
>blgwA	they have conveyed
>bn&A	children
>bnA'	sons
>bnA'hm	their sons
>bnA'km	your sons
>bnA'nA	our sons
>bnA}hn	their sons
>bnA}km	(of) your sons
>bq	he ran away
>bqY	He spared
>brH	will I leave
>brmwA	have they determined
>br}	I absolve
>bslwA	are given to destruction
>btgY	I seek
>bwAh	his parents
>bwb	gates
>bwbA	doors
>bwbhA	its gates
>bwhm	their father
>bwhmA	their father
>bwk	your father
>bwyh	his parents
>bwyk	your two forefathers
>bwykm	your parents
>byhm	their father
>bykm	your father
>bynA	our father
>b{llh	Is it Allah
>dEwA	I call
>dEwkm	call you
>dEwtmwhm	whether you call them
>dEyA'km	your adopted sons
>dEyA}hm	(of) their adopted sons
>dbArhA	their backs
>dbArkm	your backs
>dbr	it departs
>dbrhm	their backs
>dhY	(will be) more grievous
>dlk	I direct you
>dlkm	I show you
>dnY	less
>dr	I had known
>drY	I know
>drYk	can make you know
>drYkm	He (would) have made it known to you
>drkh	overtook him
>dwA	Deliver
>dxlnY	Cause me to enter
>dxlwA	Cause to enter
>f	Uff
>f>SfYkm	Then has your Lord chosen (for) you
>f>mn	Do then feel secure
>f>mntm	Do you then feel secure
>f>mnwA	Do they then feel secure
>f>nb}km	Then shall I inform you
>fA'	(was) restored
>fAD	depart
>fAk	liar
>fAq	he recovered
>fDY	has gone
>fDtm	you depart
>fESyt	Then, have you disobeyed
>fEyynA	Were We then tired
>fHkm	Is it then the judgment
>fHsb	Do then think
>fHsbtm	Then did you think
>fSH	(is) more eloquent
>fTAl	Then, did seem long
>f_dp	hearts
>f_dthm	their hearts
>fbE*AbnA	So is it for Our punishment
>fbnEmp	Then is it the Favor
>fb{lbTl	Then in falsehood do
>fgyr	Is (it) other than
>fk	is deluded
>fklmA	Is it (not) so (that) whenever
>fl	it set
>flH	successful
>flt	it set
>fnAn	branches
>fnDrb	Then should We take away
>fnjEl	Then will We treat
>fr'yt	Did you see
>fr'ytm	Do you see
>frg	Pour
>fsHr	Then is this magic
>fsdwhA	they ruin it
>ft&mnwn	So do you believe
>ft>twn	So would you approach
>ftEbdwn	Then do you worship
>ftTmEwn	Do you hope
>fthlknA	So will You destroy us
>ftmrwnh	Then will you dispute with him
>ftnA	Explain to us
>ftrY	Has he invented
>fttx*wnh	Will you then take him
>ftwnY	Advise me
>fwAjA	(in) crowds
>fwhhm	their mouths
>fyDwA	Pour
>f{tx*tm	Have you then taken
>g$yt	had been covered
>gflnA	We have made heedless
>gllA	iron collars
>gnY	avail
>gnYhm	Allah had enriched them
>gnt	availed
>gnyA'	(are) rich
>grqnA	We drowned
>grqnhm	We drowned them
>grqwA	they were drowned
>gwynA	we led astray
>gwynhm	We led them astray
>gwytnY	You misled me
>gyr	is it other
>hdY	more guided
>hdk	I will guide you
>hdkm	I will guide you
>hdykm	I guide you
>hl	people
>hlY	my family
>hlh	its people
>hlhA	her family
>hlhm	their people
>hlhn	(of) their family
>hlk	destroyed
>hlknA	We destroyed
>hlknY	destroys me
>hlknhA	We destroyed it
>hlknhm	We destroyed them
>hlkt	I have squandered
>hlkthm	You (could) have destroyed them
>hlnA	our families
>hlyhm	their families
>hlykm	your families
>hmthm	worried [them]
>hnn	(has) humiliated me
>hwA'	desires
>hwA'hm	their desires
>hwA'km	your (vain) desires
>hwY	He overthrew
>hwn	(is) easier
>jAj	(and) bitter
>jAjA	salty
>jEl	I will make
>jElnA	did We make
>jEltm	Do you make
>jbtm	did you answer
>jd	I find
>jl	time
>jlA	a term
>jlh	its end
>jlhA	its term
>jlhm	their term
>jlhn	their term
>jlnA	our term
>jlt	You appointed
>jmEwA	they put together
>jmEwn	together
>jmEyn	all
>jnHp	having wings
>jnp	fetuses
>jr	reward
>jrA	a reward
>jrY	(is) my reward
>jrh	his reward
>jrhA	her reward
>jrhm	their due
>jrmnA	sins we committed
>jrmwA	committed crimes
>jsAmhm	their bodies
>jwrhm	their reward
>jwrhn	their payment
>jwrkm	your reward
>jyb	I respond
>jybt	has been answered
>jybwA	Respond
>jzEnA	whether we show intolerance
>j}tnA	Have you come to us
>k	I am
>k*btm	Did you deny
>kAd	I almost
>kAn	Is it
>kbr	greater
>kbrnh	they greatly admired him
>kfArkm	Are your disbelievers
>kflnyhA	Entrust her to me
>kfr	I am ungrateful
>kfrh	ungrateful is he
>kfrt	Do you disbelieve
>kfrtm	Did you disbelieve
>kl	ate (it)
>klA	devouring
>klh	eats him
>klhA	Its food
>klm	I will speak
>klwn	devourers
>kmAmhA	their coverings
>kmlt	I have perfected
>kn	I was
>knnA	shelters
>knntm	you conceal it
>knp	coverings
>krh	is forced
>krhtnA	you compelled us
>krmY	Make comfortable
>krmkm	most noble of you
>krmn	has honored me
>kvr	most
>kvrhm	most of them
>kvrkm	most of you
>kwn	I be
>lHqnA	We will join
>lHqtm	you have joined
>ld	(is) the most quarrelsome
>lf	thousand
>lfA	a thousand
>lfAfA	(of) thick foliage
>lft	(could) you (have) put affection
>lfwA	found
>lfyn	two thousand
>lfynA	we found
>lhYkm	Diverts you
>lq	Throw
>lqY	threw
>lqYh	he cast it
>lqYhA	which He conveyed
>lqhA	Throw it down
>lqwA	Throw
>lqyA	Throw
>lrbk	Does your Lord
>lsnthm	their tongues
>lsntkm	your tongues
>lst	Am I not
>ltnhm	We will deprive them
>lwH	(ark) made of planks
>lwf	(were in) thousands
>lwnh	colors
>lwnhA	[their] colors
>lym	painful
>lymA	painful
>lys	Is not
>lzmnh	We have fastened to him
>m	mother
>m$Aj	a mixture
>mAmh	(to) what is before him
>mAnY	(by the) desire
>mAnyhm	(is) their wishful thinking
>mAt	causes death
>mAth	He causes him to die
>mDY	I continue
>mEA'hm	their intestines
>mTrt	was showered
>mdA	(in) time
>mdkm	has aided you
>mh	his mother
>mhA	their mother (town)
>mhlhm	Give respite to them
>mhthm	(are) their mothers
>mhtkm	(of) your mothers
>mk	your mother
>mlA	(for) hope
>mlk	possess
>mlyt	I gave respite
>mm	nations
>mmA	(as) nations
>mn	entrusts
>mnA	security
>mnp	security
>mnth	his trust
>mntkm	your trusts
>mntm	you are secure
>mnyth	his recitation
>mp	came
>mr	orders
>mrA	order
>mrY	my task
>mrh	his affair
>mrhA	its affair
>mrhm	their plan
>mrkm	your plan
>mrnA	We order
>mrt	I am commanded
>mrthm	you ordered them
>mrtk	I commanded you
>mrtnY	You commanded me
>mrwA	they were ordered
>msk	Keep
>mskhmA	can uphold them
>mskn	they catch
>mtA	any curve
>mtEkn	I will provide for you
>mtkm	your religion
>mtnA	You gave us death
>mvAlhA	the like of it
>mvAlkm	like you
>mvlhA	its likeness
>mvlhm	their similitudes
>mvlkm	your likeness[es]
>mwl	wealth
>mwlA	wealth
>mwlhm	their wealth
>mwlkm	your wealth
>mwlnA	our wealth
>mwt	I will die
>mwtA	dead
>myn	secure
>mywn	(are) unlettered ones
>n$>	produced
>n$>hA	produced them
>n$>km	produced you
>n$>nA	We produced
>n$>nh	We produce it
>n$>nhn	[We] have produced them
>n$>tm	who produced
>n$rh	He will resurrect him
>n&mn	Shall we believe
>n*r	Warn
>n*rhm	he warned them
>n*rkm	I warn you
>n*rnkm	[We] have warned you
>n*rtkm	I have warned you
>n*rwA	Warn
>nAb	turns
>nAs	people
>nEm	(are) cattle
>nEmA	cattle
>nEmhA	which He had bestowed
>nEmhm	their cattle
>nEmkm	your cattle
>nEmnA	We bestow favor
>nEmt	I bestowed
>nSAr	helpers
>nSArA	any helpers
>nSArY	(are) my helpers
>nSH	[I] advise
>nStwA	Listen quietly
>nTEm	Should we feed
>nTq	makes speak
>nTqnA	Allah made us speak
>nY	How
>nZr	(that) I may look
>nZrnY	Give me respite
>nb&A	news
>nb>hm	he had informed them
>nb>k	informed you
>nbA'	the news
>nbA}hA	their news
>nbA}km	your news
>nb_wnY	Inform Me
>nbnA	we turn
>nbtkm	has caused you to grow
>nbtnA	We produced
>nbtt	which grows
>nbyA'	Prophets
>nb}hm	Inform them
>nb}km	I inform you
>ndAdA	rivals
>ndEwA	Shall we call
>nfq	spent
>nfqt	you (had) spent
>nfqtm	you spend
>nfqwA	Spend
>nfshm	themselves
>nfshn	themselves
>nfskm	yourselves
>nfsnA	ourselves
>nhYkm	I forbid you
>nhkmA	I forbid you both
>nhr	(are) rivers
>nhrA	rivers
>njYhm	He saved them
>njYkm	He saved you
>njYnA	He saves us
>njynA	We saved
>njynkm	We saved you
>njytnA	You save us
>nkAlA	(are) shackles
>nkHk	marry you to
>nkr	harshest
>nkvA	(into) untwisted strands
>nlzmkmwhA	should We compel you (to accept) it
>nqD	weighed upon
>nsAb	(there) will be relationship
>nsYnyh	made me forget it
>nsjd	Should we prostrate
>nswkm	they made you forget
>nvY	female
>nyb	I turn
>nzl	revealed
>nzlh	Has sent it down
>nzlnA	revealed
>nzlnY	cause me to land
>nzlnh	revealed it
>nzlnhA	We (have) sent it down
>nzlt	You send
>nzltmwh	who send it down
>qAmwA	they establish
>qSA	farthest end
>qTAr	regions
>qTArhA	all its sides
>qbl	Draw near
>qblnA	we returned
>qdAmkm	your feet
>qdAmnA	our feet
>qfAlhA	(are) locks
>ql	I say
>qlEY	Withhold
>qlm	(were) pens
>qlmhm	their pens
>qlt	they have carried
>qm	Direct
>qmtm	you establish
>qrb	(is) nearer
>qrbhm	nearest of them
>qrrnA	We affirm
>qrrtm	you ratified
>qryb	whether is near
>qsT	(is) more just
>qsm	I swear
>qsmtm	sworn
>qsmwA	swore
>qtl	(so that) I kill
>qtlt	Have you killed
>qtt	are gathered to their appointed time
>qwl	I say
>qwm	(is) most straight
>qwthA	its sustenance
>qymwA	establish
>r'yt	Did you see
>r'ytk	Do You see
>r'ytkm	Have you seen
>r'ytm	You see
>r*l	the worst
>rA*lnA	(are) the lowest of us
>rAd	wills
>rAdA	they both desire
>rAdnY	Allah intended for me
>rAdwA	they wish
>rAgb	Do you hate
>rD	land
>rDA	(to) a land
>rDEn	they suckle
>rDEnkm	nursed you
>rDEt	she was nursing
>rDEyh	Suckle him
>rDY	My earth
>rDhm	their land
>rDkm	your land
>rDnA	our land
>rDytm	Are you pleased
>rHAm	wombs
>rHAmhn	their wombs
>rHAmkm	your relatives
>rHm	(are) Most Merciful
>rY	see
>rYk	[I] see you
>rYkhm	He had shown them to you
>rYkm	see you
>rYnY	[I] see myself
>rbAbA	(as) lords
>rbE	four
>rbEp	four
>rbEyn	forty
>rbY	more numerous
>rdYkm	It has ruined you
>rdn	they desire
>rdnA	we wish
>rdnh	We intend it
>rdt	I wish
>rdtm	you want
>rhTY	Is my family
>rjA}hA	its edges
>rjE	return
>rjh	Postpone him
>rjl	feet
>rjlhm	their feet
>rjlkm	your feet
>rkshm	cast them back
>rkswA	they are plunged
>rnA	Show us
>rnY	show me
>rsYhA	He made them firm
>rsl	send
>rslh	Send him
>rslnA	We sent
>rslnh	We sent him
>rslnk	We sent you
>rslt	she sent
>rsltm	you are sent
>rslwA	they had been sent
>rwnY	Show me
>ryd	wish
>rykm	I show you
>rynh	We showed him
>rynk	We showed you
>s>tm	you do evil
>sA'	does evil
>sAwr	bracelets
>sHr	Is this magic
>sTyr	tales
>s_lk	I (should) ask You
>s_lkm	I ask you
>s_wA	do evil
>sbATA	tribes
>sbb	ways
>sfA	(in) grief
>sfArA	books
>sfArnA	our journeys
>sfl	below
>sfr	it brightens
>sknt	[I] have settled
>sknwhn	Lodge them
>slHthm	their arms
>slHtkm	your arms
>slft	it did previously
>slftm	you sent before you
>slm	submit
>slmA	both of them had submitted
>slmnA	We have submitted
>slmt	I have submitted
>slmwA	submit
>smA'	names
>smE	I hear
>smEhm	He had made them hear
>sm}h	His names
>sr	conceals
>srE	(is) swiftest
>srY	took
>srf	transgresses
>srfwA	have transgressed
>srhm	their forms
>srwA	they had concealed
>ss	founded
>stgfr	I will ask forgiveness
>stgfrt	whether you ask forgiveness
>stjb	I will respond
>stkbrt	Are you arrogant
>stxlSh	I will select him
>sw>	worst
>swp	an example
>swrp	bracelets
>sxT	angered
>t*r	Will you leave
>t>mrwn	Do you order
>t>twn	Do you commit
>t>x*wnh	Would you take it
>tEbdwn	Do you worship
>tEdAnnY	Do you promise me
>tEjbyn	Are you amazed
>tElmwn	Do you know
>tHAjwnnA	Do you argue with us
>tHdvwnhm	Do you tell them
>tHjwnY	Do you argue with me
>tSbrwn	will you have patience
>tY	came
>tYhA	comes (to) it
>tYhm	came to them
>tYk	come to you
>tYkm	comes to you
>tYnA	came to us
>tbE	I follow
>tbEh	that I may follow it
>tbEk	I follow you
>tbnwn	Do you construct
>tdEwn	Do you call
>thlknA	Would You destroy us
>thtdY	whether she will be guided
>tjEl	Will You place
>tjdlwnnY	Do you dispute with me
>tl	I will recite
>tlwA	I recite
>tmdwnn	Will you provide me
>tmhA	He completed it
>tmm	Perfect
>tmmt	you complete
>tmwA	complete
>tnb_wn	Do you inform
>tnhYnA	Do you forbid us
>tqYkm	(is the) most righteous of you
>tqn	perfected
>tqtlwn	Will you kill
>tqwlwn	Do you say
>trAb	well-matched
>trAbA	well-matched
>trftm	you were given luxury
>trfwA	luxury they were given
>tryd	Do you intend
>trydwn	Do you wish
>tstbdlwn	Would you exchange
