$>n	durumda
<lfhm	onları alıştırdığı için
<lh	ilah
<lhA	tanrı
<lhh	tanrı
<lhk	tanrına
<lhkm	Tanrınız
<lhyn	iki tanrı
<lyAs	İlyas
<mAm	bir sicile
<mAmA	önder
<mlq	fakirlik
<nYh	vaktini
<ns	insan
<nsn	insanın
<nvA	dişi
<qAmtkm	ikamet
<rm	İrem'e?
<sHq	İshak'ı
<slmhm	İslam olduktan
<slmkm	müslüman olmanızı
<smEyl	İsma'il'i
<sr'yl	İsrail
<srAfA	israf ile
<vm	günah
<vmA	günah
<vmh	günahı
<xrAj	(evlerinden) çıkarılmadan
<xrAjhm	onları çıkarmak
<xrAjkm	çıkarılmanıza
<xwn	kardeşleri
<xwnA	kardeşler
<xwnhm	kardeşleri
<xwnhn	kardeşleri
<xwnkm	kardeşlerinizin
<xwp	kardeşler
<xwtY	kardeşlerim
<xwtk	kardeşlerine
<ymnA	imanı
<ymnh	imanını
<ymnhA	imanı
<ymnhm	inandıktan
<ymnkm	imanınız
>$A'	dilediğim
>$Hp	cimriler olarak
>$d	daha
>$dA'	katı
>$dh	erişinceye
>$dhmA	güçlü çağlarına
>$dkm	güçlerinize
>$hd	şahit tutuyorum
>$hdthm	onları hazır bulundurmadım
>$hdwA	şahid mi oldular?
>$hr	ay (29-30 gün)
>$kr	şükredeyim
>$kwA	arz ederim
>$q	daha zordur
>$r	kötülük mü
>$rAThA	onun belirtileri
>$rk	ortak koştu
>$rknA	biz ortak koşmazdık
>$rkt	ortak koşarsan
>$rktm	ortak koşmaktan
>$rktmwn	beni ortak koşmanızı
>$rkwA	ortak koşanlar
>$tAtA	ayrı ayrı
>$yA'	şeyler
>$yA'hm	haklarını
>$yAEkm	sizin benzerlerinizi
>&nb}km	size söyleyeyim mi?
>'lh	tanrı mı var?
>'lqY	-mı bırakıldı?
>'nzl	indirildi mi?
>*AEwA	yayarlar
>*Aqhm	onlara taddırdığı
>*Y	eziyet
>*Yhm	onların eziyetlerine
>*bHk	seni kesiyorum
>*hb	gideren
>*hbtm	zayi ettiniz
>*krh	onu söylememi
>*krkm	ben de sizi anayım
>*lp	zilletle
>*n	seslendi
>*nt	izin verdin
>*nyh	kulaklarında
>*qnA	tattırsak
>*qnh	ona tattırırsak
>DA'	aydınlattığı
>DA't	aydınlatır
>DAEwA	onlar zayi ettiler
>DEAfA	fazlasıyla
>DEf	daha zayıftır
>DEfA	kat kat
>DHk	güldüren
>DTrh	onu mahkum ederim
>Dgv	karmakarışık
>Dl	saptırdığı
>DlAnA	bizi saptıran
>Dlln	şaşırttılar
>Dlltm	saptırdınız
>DlnA	bizi saptıramazlar
>DlnY	o beni saptırdı
>DlwA	yoldan çıkardılar
>DlwnA	bizi saptırdılar
>DyE	zayi etmeyeceğim
>E*bh	azab etmediğim
>ESY	karşı gelmem
>ESr	sıktığımı
>ETY	verendir
>ETwA	kendilerine pay verilse
>ETynk	sana verdik
>EZk	seni sakındırıyorum
>EZkm	size öğütleyeyim
>EZm	daha büyüktür
>Ebd	tapmaktan
>Ed	hazırlamıştır
>EdA'	düşman
>Edt	hazırlanmış
>Ehd	ben and vermedim mi?
>EjAz	kütükleri
>Ejb	hoşuna giden
>Ejbk	hoşuna gitse de
>Ejbkm	hoşunuza gitse bile
>Ejbtkm	hoşunuza gitse bile
>Ejlk	seni aceleyle sevk eden
>Ejltm	acele mi ettiniz?
>EjmY	a'cemi (yabancıdır)
>EjmyA	yabancı (dilde)
>Ejzt	aciz miyim
>Elm	bilir
>Elnt	açıktan söyledim
>Elntm	açığa vurduğunuz
>EmY	kör
>Eml	işleri
>Emlhm	işleri
>Emlkm	işlerinizi
>EmlnA	bizim işlerimiz
>Emmkm	amcalarınızın
>EnAb	üzüm
>EnAq	boyunlarına
>EnAqhm	boyunlarında
>Enb	üzüm
>Endh	kendi yanında mı?
>Enqhm	boyunları
>EqAbnA	ökçelerimiz
>Eqbkm	arkanız
>ErD	vazgeç
>ErDtm	yine yüz çevirirsiniz
>ErDwA	yüz çevirirler
>EtdnA	hazırladık
>EvrnA	buldurduk
>Ew*	sığınırım
>Ey*hA	onu ısmarlıyorum
>EybhA	onu kusurlu yapmak
>EydwA	geri çevrilirler
>Eyn	gözü
>Eynhm	gözleri
>Eynhn	onların gözlerinin
>Eynkm	gözlerinizin
>Ez	daha mı üstündür
>Ezp	şereflilerini
>HAT	kuşatmıştır
>HAdyv	efsanelere
>HSY	daha iyi hesabedeceğini
>HSYh	onu saymıştır
>HSYhA	her şeyi sayıp döküyor
>HSYhm	onları kuşatmış
>HSn	evli
>HSnt	korumuş
>HSrtm	engellenmiş olursanız
>HSrwA	kapanıp kalan
>HSynh	saymıştık
>HTnA	biliyorduk
>HTt	ben gördüm
>HY	yaşatır
>Hb	sevmem
>HbArhm	hahamlarını
>Hbbt	sevdiğin
>Hd	kimse
>HdA	birini
>Hdhm	her biri
>HdhmA	birisi
>Hdkm	biriniz
>HdkmA	ikinizden biriniz
>HdnA	(bizden) birimizi
>Hdv	ben anlatıncaya
>Hkm	en iyi hükmedenisin
>Hkmt	sağlamlaştırılmış
>Hl	helal kıldı
>HllnA	helal kıldık
>Hlm	düşler
>Hlmhm	akılları (mı?)
>HlnA	bizi kondurdu
>Hlt	helal kılındı
>Hmd	Ahmed'dir
>Hml	taşıyorum
>Hmlkm	sizi bindirecek
>Hq	gerçek mi?
>HrS	en düşkünü
>Hs	sezdi
>Hsb	-mı sandılar?
>Hsn	en güzel
>Hsnh	onun en güzeline
>Hsntm	iyilik ederseniz
>HsnwA	güzel davrananlar
>HswA	hissettikleri
>HyA	yaşatmış
>HyA'	diri
>HyAhA	onu dirilten
>HyAkm	sizi dirilten
>HyT	kuşatıldıklarına
>Hyhm	kendilerini diriltmişti
>HyynhA	biz onu dirilttik
>SAb	uğratınca
>SAbh	kendisine gelirse
>SAbhA	değince
>SAbhm	isabet
>SAbk	geldiyse
>SAbt	vurup
>SAbth	başına gelirse
>SHb	halkı
>SHbhm	arkadaşlarının
>STfY	tercih mi etmiş?
>Sb	kayarım
>SbEhm	parmaklarını
>SbH	olsa
>SbHwA	olmuşlardı
>Sbkm	size erişirse
>Sbnhm	kendilerini de cezalandırırız
>Sbrhm	cesaretlidirler
>Sbthm	onlara eriştiği
>Sbtkm	size geldiği
>Sbtm	onların başlarına getirdiğiniz halde
>Sdq	daha doğru
>Sdqt	doğru mu söyledin
>Sgr	küçük
>Sl	dibinde
>Slbkm	kendi sulbünüz-
>SlhA	kökü
>Slwtk	namazın mı?
>SnAm	putlara
>SnAmA	putları
>Snmkm	putlarınıza
>SwAfhA	yünlerinden
>SwlhA	kökleri
>Swthm	seslerini
>Swtkm	seslerinizi
>Syb	uğratırım
>TAE	ita'at etmiş olur
>TAEwnA	bizim sözümüzü tutsalardı
>TEmh	yedireceği
>TEmhm	onları yedirip
>TEnA	uyduk
>TEnkm	size ita'at ederlerse
>TEtm	ita'at ederseniz
>TEtmwhm	onlara uyarsanız
>Tf>hA	onu söndürmüştür
>Tgyth	ben onu azdırmadım
>Thr	daha temizdir
>TlE	çıkarım
>TmE	umduğum
>TrAfhA	uçlarından
>TyEwA	ita'at edin
>Zfrkm	sizi galip getirdikten
>Zlm	daha zalim
>Zn	sanmam
>b$r	bir insan mı?
>b$rA	insana mı?
>b$rtmwnY	beni mi müjdelediniz?
>bA	babası
>bAh	babasından
>bAhm	babalarına
>bAkm	babanız
>bAnA	babamız
>bEv	mı gönderdi?
>bHr	deniz (daha)
>bSr	görürse
>bSrhA	gözleri
>bSrhm	gözleri
>bSrhn	bakışlarını
>bSrkm	gözlerinizin
>bSrnA	gördük
>bY	Ebu
>bdA	asla
>bdlh	onu değiştirmem
>bgY	arayayım
>bgykm	size arayayım
>bkm	dilsizdir
>blg	erişirim
>blgh	onu ulaştır
>blgkm	size duyuruyorum
>blgtkm	ben size duyurdum
>blgwA	duyurduklarını
>bn&A	oğullarıyız
>bnA'	oğulları
>bnA'hm	oğulları
>bnA'km	oğullarınızı
>bnA'nA	oğullarımızı
>bnA}hn	oğulları
>bnA}km	oğullarınızın
>bq	kaçmıştı
>brH	durmayacağım
>brmwA	kararlaştırdılar (mı?)
>br}	ben temize çıkarmam
>bslwA	helake uğrayan(lardır)
>btgY	arayayım
>bwAh	ana babası
>bwb	kapısı
>bwbA	kapılar
>bwbhA	kapıları
>bwhm	babaları
>bwhmA	babaları da
>bwk	baban
>bwyh	ana-babasını
>bwyk	ataları
>bwykm	ana babanızı
>byhm	babalarına
>bykm	babanız
>bynA	babamıza
>b{llh	Allah ile mi?
>dEwA	da'vet ederim
>dEwkm	sizi çağırıyorum
>dEwtmwhm	onları çağırmanız
>dEyA'km	evlatlıklarınızı
>dEyA}hm	evlatlıkları
>dbArhA	arkaları
>dbArkm	arkanıza
>dbr	sırtını dönen
>dbrhm	arkaları
>dhY	cidden çok fecidir
>dlk	sana göstereyim
>dlkm	size göstereyim
>dnY	daha az
>dr	bilmeseydim
>drY	bilmem
>drYk	bileceksin
>drYkm	ve size hiç bildirmezdi
>drkh	onu yakaladığı
>dwA	teslim edin
>dxlnY	beni girdir
>dxlwA	sokun (denilir)
>f	öf
>f>SfYkm	size seçti, (öyle) mi?
>f>mn	emin midirler?
>f>mntm	emin misiniz?
>f>mnwA	emin mi oldular?
>f>nb}km	size haber vereyim mi?
>fA'	verdiği
>fAD	akın ettiği
>fAk	yalancı
>fAq	ayılınca
>fDY	geçmiş(içli dışlı olmuş)ken
>fDtm	daldığınız
>fESyt	karşı mı geldin?
>fEyynA	aciz mi kaldık?
>fHkm	hükmünü mü?
>fHsb	mi sandılar?
>fHsbtm	bizim
>fSH	daha fasihtir (güzel konuşur)
>fTAl	uzun mu geldi?
>f_dp	kalbleri
>f_dthm	gönülleri
>fbE*AbnA	bizim azabımızı mı?
>fbnEmp	ni'metini mi?
>fb{lbTl	hâlâ batıla mı?
>fgyr	başka mı?
>fklmA	öyle mi?
>fl	(o da) batınca
>flH	başarmıştır
>flt	(O da) batınca
>fnDrb	bırakalım mı?
>fnjEl	biz yapar mıyız?
>fr'yt	gödün mü?
>fr'ytm	gördünüz mü?
>frg	dök
>fsHr	büyü müymüş?
>fsdwhA	orayı bozarlar
>ft&mnwn	yoksa siz inanıyorsunuz da
>ft>twn	şimdi siz kapılacak mısınız?
>ftEbdwn	tapıyor musunuz?
>ftTmEwn	umuyor musunuz?
>fthlknA	bizi helak mı ediyorsun?
>ftmrwnh	kuşku mu duyuyorsunuz?
>ftnA	bize bilgi ver
>ftrY	uydurdu mu?
>fttx*wnh	siz onu mu ediniyorsunuz?
>ftwnY	bana anlatın
>fwhhm	ağızları
>fyDwA	biraz da akıtın
>f{tx*tm	mi edindiniz?
>g$yt	kaplanmış
>gflnA	alıkoyduğumuz
>gllA	halkalar
>gnY	yararı
>gnYhm	kendilerini zengin etti
>gnt	sağlayamadı
>gnyA'	zengin
>grqnA	boğduk
>grqnhm	onları boğduk
>grqwA	boğuldular
>gwynA	azdırdıklarımız
>gwynhm	onları azdırdık
>gwytnY	beni azdırmana
>gyr	başka mı?
>hdY	en doğru
>hdk	seni ileteyim
>hdkm	sizi götüreyim
>hdykm	ben sizi iletmem
>hl	ehli
>hlY	benim ailemdendir
>hlh	ailesi
>hlhA	halkı
>hlhm	ailelerine
>hlhn	ailelerinin
>hlk	ailen-
>hlknA	yok ettik
>hlknY	beni öldürse
>hlknhA	helak ettik
>hlknhm	helak ettik
>hlkt	ben telef ettim
>hlkthm	bunları da helak ederdin
>hlnA	ailemiz
>hlyhm	ailelerine
>hlykm	ailenize
>hmthm	kaygısına düşmüştü
>hwA'	keyiflerine
>hwA'hm	keyiflerine
>hwA'km	sizin keyiflerinize
>hwn	daha kolaydır
>jAj	acıdır
>jAjA	tuzlu
>jEl	yapayım
>jElnA	yapmış mıyız?
>jEltm	bir mi tuttunuz?
>jbtm	cevap verdiniz
>jd	bulurum
>jl	süre
>jlA	süreye
>jlh	sonuna
>jlhA	süresi
>jlhm	süreleri
>jlhn	süresi
>jlnA	sonuna
>jlt	verdiğin sürenin
>jmEwA	toplandıkları
>jnHp	kanatlar
>jnp	cenin halinde iken
>jr	ödül
>jrA	ecirle
>jrY	benim ecrim
>jrh	mükafatı
>jrhA	mükafatını
>jrhm	ödülü
>jrmnA	bizim işlediğimiz suç-
>jrmwA	suç işleyen(ler)
>jsAmhm	cisimleri
>jwrhm	ücretlerini
>jwrhn	mehirlerini
>jwrkm	ecirleriniz
>jyb	karşılık veririm
>jybt	kabul edildi
>jybwA	uyun
>jzEnA	sızlansak da
>j}tnA	mi geldin?
>k	ben değilim
>k*btm	yalanladınız mı?
>kAd	neredeyse
>kAn	mı geldi?
>kbr	büyük
>kbrnh	onu (gözlerinde) büyüttüler
>kfArkm	sizin kafirleriniz mi?
>kflnyhA	onu da bana ver
>kfr	inkar mı edeceğim?
>kfrt	inkar mı ediyorsun?
>kfrtm	inkar ettiniz ha? (denilir)
>kl	yediği
>klA	bir yiyişle
>klh	ürünleri
>klhA	ürününü
>klm	konuşmayacağım
>klwn	yerler
>kmAmhA	kabukları-
>kmlt	olgunlaştırdım
>kn	olurum
>knnA	oturulacak barınaklar
>knntm	gizlemenizden
>knp	perdeler
>krh	(inkara) zorlanan
>krhtnA	bizi yapmaya zorladığın
>krmY	ona kıymet ver
>krmkm	en üstün olanınız
>kvr	çoğu
>kvrhm	çoğu
>kvrkm	sizin çoğunuz
>kwn	olmam
>lHqnA	kattık
>lHqtm	kattığınız
>ld	en azılısıdır
>lf	bin
>lfA	bin (kişiyi)
>lft	yine de uzlaştıramazdın
>lfwA	buldular
>lfyn	iki bin(kafir)i
>lfynA	biz bulduğumuz
>lhYkm	sizi oyaladı
>lq	at
>lqY	attı
>lqYh	koyunca
>lqYhA	attığı
>lqhA	(yere) at onu
>lqwA	atın
>lqyA	haydi ikiniz atın
>lrbk	Rabbine (mi?)
>lsnthm	dilleri
>lsntkm	dillerinizin
>lst	ben değil miyim?
>ltnhm	eksiltmedik
>lwH	tahtalarla
>lwf	binlerce kişi iken
>lwnh	renkleri
>lwnhA	renkleri
>lym	acı
>lymA	acıklı
>lys	değil mi?
>lzmnh	bağladık
>m	ana
>m$Aj	karışık
>mAnY	kuruntuları
>mAnyhm	onların kuruntusudur
>mAt	öldüren
>mAth	onu öldürdü
>mDY	yürüyeceğim
>mTrt	yağmura tutulan
>mdA	bir mesafe
>mdkm	size bol bol veren
>mh	anası
>mhA	(ülkelerin) anasına
>mhlhm	kendi hallerine bırak
>mhthm	onların anaları
>mhtkm	analarınız
>mk	annene
>mlk	ben sahip
>mlyt	biraz süre vermişimdir
>mm	ümmetler
>mmA	topluluklara
>mn	güvenirseniz
>mnA	(tam) bir güvene
>mnp	bir güven
>mnth	emanetini
>mntkm	emanetlerinize
>mntm	emin misiniz?
>mnyth	onun temennisine
>mp	ümmet
>mr	iş
>mrA	iş
>mrY	işimi
>mrh	işi
>mrhA	emrini
>mrhm	o işi
>mrkm	işiniz
>mrnA	emrimiz
>mrt	emredildi
>mrthm	onlara emredersen
>mrtk	sana emrettiğim
>mrtnY	bana emrettiğin
>mrwA	emredilmişti
>msk	tut
>mskhmA	onları tutamaz
>mskn	tuttukları
>mtEkn	size (boşanma bedeli) vereyim
>mtkm	sizin ümmetiniz
>mtnA	bizi öldürdün
>mvAlhA	o(getirdiği)nin
>mvAlkm	sizin gibi
>mvlhm	onların seçkinleri
>mvlkm	benzerlerinizi
>mwl	malları
>mwlA	mal
>mwlhm	malları
>mwlkm	malınız
>mwlnA	mallarımız
>mwt	öleceğim
>mwtA	ölüler
>mywn	ümmiler
>n$>	yaratan
>n$>hA	yaratan
>n$>km	sizi yarattı
>n$>nA	yarattık
>n$>nh	onu yaptık
>n$>nhn	kadınları inşa' etmişizdir
>n$>tm	yarattınız
>n&mn	inanır mıyız?
>n*r	uyar
>n*rhm	onları uyarmıştı
>n*rkm	sizi uyarıyorum
>n*rnkm	siz uyardık
>n*rtkm	ben sizi uyardım
>n*rwA	uyarsın
>nAb	yönelen
>nAs	kabile
>nEm	lutfetti
>nEmA	hayvanlardan
>nEmhA	onları nimetlendirdiği
>nEmhm	hayvanları da
>nEmkm	hayvanlarınızı
>nEmnA	ni'met versek
>nEmt	verdiğim
>nSAr	yardımcıları
>nSArY	benim yardımcılarım
>nSH	öğüt vermek
>nStwA	susun (dinleyin)
>nTEm	biz mi yedirelim?
>nTq	konuşturan
>nTqnA	bizi konuşturdu
>nY	nasıl
>nZr	bakayım
>nZrnY	bana süre ver
>nb&A	haberleri
>nb>hm	bunlara haber verince
>nb>k	sana söyledi
>nbA'	haberleri-
>nbA}hA	onların haberleri-
>nbA}km	sizin haberleriniz-
>nb_wnY	bana söyleyin
>nbnA	yöneldik
>nbtkm	sizi bitirdi
>nbtnA	bitirmişizdir
>nbtt	veren
>nbyA'	peygamberler
>nb}hm	bunlara haber ver
>nb}km	size haber veririm
>ndAdA	eşler
>ndEwA	mi yalvaralım?
>nfq	infak eden
>nfqt	sen verseydin
>nfqtm	vereceğiniz
>nfqwA	infak edin
>nfshm	kendi
>nfshn	kendileri
>nfskm	sizin
>nfsnA	nefsimiz
>nhYkm	sizi menettiğim
>nhkmA	ben sizi men'etmedim mi?
>nhr	ırmakları
>nhrA	ırmaklar
>njYhm	kurtarır onları
>njYkm	sizi kurtardı
>njYnA	bizi kurtarırsa
>njynA	kurtardığımız
>njynkm	biz sizi kurtardık
>njytnA	bizi kurtarırsan
>nkAlA	bukağılar
>nkHk	sana nikahlamak
>nkr	en çirkini
>nkvA	büktükten
>nlzmkmwhA	biz sizi zorlayacak mıyız?
>nqD	çatırdatmıştı
>nsAb	soylar
>nsYnyh	bana unutturmadı
>nsjd	secde eder miyiz hiç?
>nswkm	size unutturdular
>nvY	dişi
>nzl	indir
>nzlh	indirdiği
>nzlnA	indirdik
>nzlnY	beni indir
>nzlnh	indirdik
>nzlnhA	bu indirdiğimiz
>nzlt	indirilse
>nzltmwh	onu indirdiniz
>qAmwA	kılarlar
>qSA	öbür ucundan
>qTAr	bucakları-
>qTArhA	her yan-
>qbl	dön
>qblnA	geldiğimiz
>qdAmnA	ayaklarımızı
>ql	daha az
>qlEY	sen de tut
>qlm	kalem
>qlmhm	(kur'a) oklarını
>qlt	onlar yüklenince
>qm	kıl
>qmtm	kılarsanız
>qrb	daha yakın
>qrbhm	en yakınları da
>qrrnA	kabul ettik
>qrrtm	kabul etmiştiniz
>qryb	yakın mıdır?
>qsT	daha adaletli
>qsm	and içerim
>qsmtm	yemininizi
>qsmwA	yemin edenler
>qtl	öldüreyim
>qtlt	mı katlettin?
>qwl	diyemem
>qwm	en doğru olana
>qwthA	gıdalarını
>qymwA	kılın
>r'yt	gördün mü?
>r'ytk	gördün mü?
>r'ytkm	gördünüz mü?
>r'ytm	baksanıza
>r*l	en reziline
>rA*lnA	en aşağılıklarımız
>rAd	istese
>rAdA	isterlerse
>rAdnY	bana istese
>rAdwA	isterlerse
>rAgb	yüz mü çeviriyorsun?
>rD	yeri
>rDA	bir yere
>rDEn	(çocuğunuzu) emzirirlerse
>rDEnkm	sizi emziren
>rDEt	emzirdiğini
>rDEyh	O(çocuğu)nu emzir
>rDY	benim arzım
>rDhm	topraklarını
